Months,BL,P10,SeaSpray,WindDrift
2022-01-01,0.0,0.0,0.0,0.0
2022-02-01,0.0,0.0,0.0,0.0
2022-03-01,0.0,1179.24,2465.2799999999997,4681.64
2022-04-01,0.0,1447.6,2126.23,4676.78
2022-05-01,0.0,4157.06,5231.55,6792.35
2022-06-01,0.0,4482.64,7323.64,7715.62
2022-07-01,6494.46,10278.6,7532.66,8782.68
2022-08-01,7117.6,14964.72,6261.17,4501.97
2022-09-01,3634.4,5069.0,0.0,4864.639999999999
2022-10-01,925.0,4576.33,1089.49,2656.82
2022-11-01,0.0,3684.61,0.0,0.0
2022-12-01,0.0,558.6,3600.0,0.0
